Website,tcp,Time for transfer,Delay,Bandwidth
flipkart,tcp fast_open,0.12,20,1
flipkart,vanilla,0.2,20,1
flipkart,tcp fast_open,0.12,20,2
flipkart,vanilla,0.2,20,2
flipkart,tcp fast_open,0.12,20,5
flipkart,vanilla,0.2,20,5
flipkart,tcp fast_open,0.12,20,10
flipkart,vanilla,0.2,20,10
flipkart,tcp fast_open,0.6,100,1
flipkart,vanilla,1.0,100,1
flipkart,tcp fast_open,0.6,100,2
flipkart,vanilla,1.0,100,2
flipkart,tcp fast_open,0.6,100,5
flipkart,vanilla,1.0,100,5
flipkart,tcp fast_open,0.6,100,10
flipkart,vanilla,1.0,100,10
flipkart,tcp fast_open,1.2,200,1
flipkart,vanilla,2.0,200,1
flipkart,tcp fast_open,1.2,200,2
flipkart,vanilla,2.0,200,2
flipkart,tcp fast_open,1.2,200,5
flipkart,vanilla,2.0,200,5
flipkart,tcp fast_open,1.2,200,10
flipkart,vanilla,2.0,200,10
amazon_in,tcp fast_open,52.01,20,1
amazon_in,vanilla,52.28,20,1
amazon_in,tcp fast_open,26.08,20,2
amazon_in,vanilla,26.46,20,2
amazon_in,tcp fast_open,10.65,20,5
amazon_in,vanilla,11.51,20,5
amazon_in,tcp fast_open,5.99,20,10
amazon_in,vanilla,7.22,20,10
amazon_in,tcp fast_open,53.19,100,1
amazon_in,vanilla,57.4,100,1
amazon_in,tcp fast_open,29.82,100,2
amazon_in,vanilla,35.95,100,2
amazon_in,tcp fast_open,20.48,100,5
amazon_in,vanilla,27.27,100,5
amazon_in,tcp fast_open,18.75,100,10
amazon_in,vanilla,25.97,100,10
amazon_in,tcp fast_open,59.63,200,1
amazon_in,vanilla,71.86,200,1
amazon_in,tcp fast_open,42.98,200,2
amazon_in,vanilla,56.52,200,2
amazon_in,tcp fast_open,37.91,200,5
amazon_in,vanilla,51.35,200,5
amazon_in,tcp fast_open,36.35,200,10
amazon_in,vanilla,50.98,200,10
